CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
MOTOR VEHICLE THEFT	11/15/2018 07:13:00 PM	18-057980	VEHICLE THEFT - AUTO	13X	5200 GOLDEN GATE AV	Oakland	CA	"5200 GOLDEN GATE AV
Oakland, CA
(37.845167, -122.23353)"
ASSAULT	11/16/2018 02:30:00 PM	18-058102	THREAT CRIME:INT:TERRORIZE	27Y	6100 HAYES ST	Oakland	CA	"6100 HAYES ST
Oakland, CA
(37.767969, -122.193439)"
MOTOR VEHICLE THEFT	10/09/2018 07:00:00 PM	18-051424	VEHICLE THEFT - AUTO	23X	4000 ALAMEDA AV	Oakland	CA	"4000 ALAMEDA AV
Oakland, CA
(37.768208, -122.22405)"
ASSAULT	10/16/2018 09:00:00 PM	18-052620	CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE	34X	1900 90TH AV	Oakland	CA	"1900 90TH AV
Oakland, CA
(37.752108, -122.168929)"
MOTOR VEHICLE THEFT	12/05/2018 12:00:00 AM	18-061291	VEHICLE THEFT - AUTO	08X	3800 SHAFTER AV	Oakland	CA	"3800 SHAFTER AV
Oakland, CA
(37.826509, -122.260286)"
ASSAULT	11/26/2018 11:05:00 AM	18-059641	BATTERY	23X	3600 SAN LEANDRO ST	Oakland	CA	"3600 SAN LEANDRO ST
Oakland, CA
(37.773551, -122.223267)"
VANDALISM	12/24/2018 02:48:00 AM	18-064589	VANDALISM	19X	800 INTERNATIONAL BLVD	Oakland	CA	"800 INTERNATIONAL BLVD
Oakland, CA
(37.793547, -122.251349)"
MOTOR VEHICLE THEFT	12/10/2018 05:14:00 PM	18-062285	VEHICLE THEFT - AUTO	07X	2300 WEST ST	Oakland	CA	"2300 WEST ST
Oakland, CA
(37.813724, -122.275653)"
MOTOR VEHICLE THEFT	10/18/2018 09:00:00 AM	18-053057	VEHICLE THEFT - AUTO	17X	800 FOOTHILL BLVD	Oakland	CA	"800 FOOTHILL BLVD
Oakland, CA
(37.794721, -122.249352)"
ASSAULT	11/15/2018 02:20:00 PM	18-057968	BATTERY	02X	900 MARKET ST	Oakland	CA	"900 MARKET ST
Oakland, CA
(37.803906, -122.282444)"
MOTOR VEHICLE THEFT	10/24/2018 07:00:00 PM	18-054690	VEHICLE THEFT - AUTO	07X	2600 MYRTLE ST	Oakland	CA	"2600 MYRTLE ST
Oakland, CA
(37.817757, -122.278603)"
MOTOR VEHICLE THEFT	11/23/2018 06:00:00 PM	18-059519	VEHICLE THEFT - AUTO	18Y	2900 22ND AV	Oakland	CA	"2900 22ND AV
Oakland, CA
(37.795665, -122.227153)"
DISTURBING THE PEACE	11/16/2018 08:36:00 AM	18-058042	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ROBBERY	10/28/2018 02:45:00 PM	18-054772	ROBBERY-FIREARM	35Y	10900 ETTRICK ST	Oakland	CA	"10900 ETTRICK ST
Oakland, CA
(37.751319, -122.130333)"
ASSAULT	12/02/2018 04:20:00 PM	18-060827	BATTERY	04X	2100 SAN PABLO AV	Oakland	CA	"2100 SAN PABLO AV
Oakland, CA
(37.810893, -122.273317)"
MOTOR VEHICLE THEFT	12/20/2018 10:33:00 PM	18-064112	VEHICLE THEFT - AUTO	34X	1400 AUSEON AV	Oakland	CA	"1400 AUSEON AV
Oakland, CA
(37.752271, -122.176271)"
ASSAULT	12/03/2018 07:29:00 PM	18-061020	BATTERY	26Y	1000 71ST AV	Oakland	CA	"1000 71ST AV
Oakland, CA
(37.756819, -122.193636)"
THEFT/LARCENY	11/04/2018 05:00:00 PM	18-915875	BURGLARY-AUTO	04X	1600 FRANKLIN ST	Oakland	CA	"1600 FRANKLIN ST
Oakland, CA
(37.805391, -122.268994)"
DRUGS/ALCOHOL VIOLATIONS	11/07/2018 01:50:00 PM	18-056560	POSSESS MARIJUANA/HASHISH FOR SALE	06X	3200 MARTIN LUTHER KING JR W	Oakland	CA	"3200 MARTIN LUTHER KING JR W
Oakland, CA"
THEFT/LARCENY	10/10/2018 08:15:00 PM	18-914361	BURGLARY-AUTO	01X	400 2ND ST	Oakland	CA	"400 2ND ST
Oakland, CA
(37.795585, -122.275115)"
THEFT/LARCENY	11/30/2018 08:00:00 PM	18-917007	BURGLARY-AUTO	77X	600 THOMAS L BERKELEY WY	Oakland	CA	"600 THOMAS L BERKELEY WY
Oakland, CA
(37.809993, -122.272269)"
ASSAULT	10/09/2018 08:45:00 AM	18-051213	THREAT CRIME:INT:TERRORIZE	02Y	800 CAMPBELL VILLAGE CT	Oakland	CA	"800 CAMPBELL VILLAGE CT
Oakland, CA
(37.807536, -122.299751)"
MOTOR VEHICLE THEFT	12/03/2018 12:38:00 PM	18-061325	VEHICLE THEFT - AUTO	14X	300 EUCLID AV	Oakland	CA	"300 EUCLID AV
Oakland, CA
(37.813976, -122.252852)"
THEFT/LARCENY	10/05/2018 08:00:00 PM	18-914117	BURGLARY-AUTO	14Y	500 LAKE PARK AV	Oakland	CA	"500 LAKE PARK AV
Oakland, CA
(37.810718, -122.247325)"
ROBBERY	10/22/2018 05:20:00 PM	18-053733	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	02X	700 MARKET ST	Oakland	CA	"700 MARKET ST
Oakland, CA
(37.803019, -122.282748)"
ASSAULT	11/06/2018 07:15:00 PM	18-056396	BATTERY	30X	7300 INTERNATIONAL BLVD	Oakland	CA	"7300 INTERNATIONAL BLVD
Oakland, CA
(37.759176, -122.18689)"
ASSAULT	11/24/2018 04:00:00 PM	18-059364	BATTERY	33X	9700 D ST	Oakland	CA	"9700 D ST
Oakland, CA
(37.742575, -122.176143)"
ASSAULT	11/25/2018 10:15:00 PM	18-059561	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	21Y	3100 MAPLE AV	Oakland	CA	"3100 MAPLE AV
Oakland, CA
(37.79234, -122.210115)"
ASSAULT	12/18/2018 10:30:00 AM	18-063673	ASSAULT WITH FIREARM ON PERSON	20X	1600 25TH AV	Oakland	CA	"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
ROBBERY	11/25/2018 04:00:00 AM	18-059444	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	23X	3900 ALAMEDA AV	Oakland	CA	"3900 ALAMEDA AV
Oakland, CA
(37.768227, -122.225001)"
MOTOR VEHICLE THEFT	11/25/2018 02:50:00 PM	18-059513	VEHICLE THEFT - AUTO	30Y	2600 74TH AV	Oakland	CA	"2600 74TH AV
Oakland, CA
(37.76625, -122.175004)"
ASSAULT	12/14/2018 08:30:00 AM	18-062981	ASSAULT	20X	1200 26TH AV	Oakland	CA	"1200 26TH AV
Oakland, CA
(37.78056, -122.233381)"
MOTOR VEHICLE THEFT	11/12/2018 01:29:00 PM	18-057517	VEHICLE THEFT - AUTO	19X	600 E 8TH ST	Oakland	CA	"600 E 8TH ST
Oakland, CA
(37.792241, -122.256681)"
THEFT/LARCENY	10/06/2018 12:00:00 AM	18-914161	THEFT	04X	1700 TELEGRAPH AV	Oakland	CA	"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
MOTOR VEHICLE THEFT	09/30/2018 04:00:00 PM	18-049654	VEHICLE THEFT - AUTO	18Y	2500 19TH AV	Oakland	CA	"2500 19TH AV
Oakland, CA
(37.79463, -122.233191)"
THEFT/LARCENY	11/05/2018 06:00:00 PM	18-915878	BURGLARY-AUTO	01X	300 HARRISON ST	Oakland	CA	"300 HARRISON ST
Oakland, CA
(37.795955, -122.271728)"
MOTOR VEHICLE THEFT	10/05/2018 11:37:00 AM	18-050603	VEHICLE THEFT - AUTO	19X	800 E 8TH ST	Oakland	CA	"800 E 8TH ST
Oakland, CA
(37.790788, -122.254067)"
MOTOR VEHICLE THEFT	10/17/2018 11:59:00 AM	18-052749	VEHICLE THEFT - AUTO	26X	5000 COLISEUM WY	Oakland	CA	"5000 COLISEUM WY
Oakland, CA
(37.764251, -122.2152)"
ASSAULT	12/23/2018 04:00:00 PM	18-064526	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	04X	1400 HARRISON ST	Oakland	CA	"1400 HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
ASSAULT	12/18/2018 02:37:00 AM	18-063609	WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER	20X	1600 25TH AV	Oakland	CA	"1600 25TH AV
Oakland, CA
(37.783804, -122.231457)"
ASSAULT	11/19/2018 06:33:00 PM	18-058602	BATTERY	26Y	7100 INTERNATIONAL BLVD	Oakland	CA	"7100 INTERNATIONAL BLVD
Oakland, CA
(37.760028, -122.188818)"
THEFT/LARCENY	11/05/2018 10:00:00 AM	18-915901	THEFT	23X	3300 E 12TH ST	Oakland	CA	"3300 E 12TH ST
Oakland, CA
(37.776182, -122.225334)"
FRAUD	11/16/2018 11:10:00 AM	18-916488	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	30X	7600 LOCKWOOD ST	Oakland	CA	"7600 LOCKWOOD ST
Oakland, CA
(37.761468, -122.179687)"
BURGLARY	11/24/2018 10:00:00 AM	18-059474	BURGLARY-FORCIBLE ENTRY	19X	2200 E 12TH ST	Oakland	CA	"2200 E 12TH ST
Oakland, CA
(37.78366, -122.238411)"
THEFT/LARCENY	10/16/2018 08:45:00 PM	18-052833	GRAND THEFT	22X	3900 FRUITVALE AV	Oakland	CA	"3900 FRUITVALE AV
Oakland, CA
(37.80524, -122.212559)"
BURGLARY	12/01/2018 01:30:00 AM	18-060564	BURGLARY-FORCIBLE ENTRY	23X	4200 E 12TH ST	Oakland	CA	"4200 E 12TH ST
Oakland, CA
(37.771883, -122.217052)"
THEFT/LARCENY	11/06/2018 07:20:00 PM	18-915903	BURGLARY-AUTO	17X	700 E 19TH ST	Oakland	CA	"700 E 19TH ST
Oakland, CA
(37.797567, -122.247558)"
ASSAULT	12/10/2018 03:14:00 AM	18-062158	WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER	30X	6700 FLORA ST	Oakland	CA	"6700 FLORA ST
Oakland, CA
(37.763148, -122.189645)"
ROBBERY	10/27/2018 11:40:00 PM	18-054668	ROBBERY-FIREARM	20X	1600 29TH AV	Oakland	CA	"1600 29TH AV
Oakland, CA
(37.781048, -122.227427)"
ASSAULT	12/23/2018 02:53:00 PM	18-064514	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	32X	9900 C ST	Oakland	CA	"9900 C ST
Oakland, CA
(37.741391, -122.174066)"
THEFT/LARCENY	10/19/2018 05:43:00 PM	18-053143	RECEIVE/ETC KNOWN STOLEN PROPERTY	10Y	800 52ND ST	Oakland	CA	"800 52ND ST
Oakland, CA
(37.837094, -122.269289)"
BURGLARY	10/13/2018 03:35:00 AM	18-052579	BURGLARY-FORCIBLE ENTRY	04X	200 LAKESIDE DR	Oakland	CA	"200 LAKESIDE DR
Oakland, CA
(37.806134, -122.2628)"
MOTOR VEHICLE THEFT	10/09/2018 09:00:00 AM	18-051272	VEHICLE THEFT - AUTO	31X	7000 COLISEUM WY	Oakland	CA	"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY	10/06/2018 12:00:00 PM	18-914231	BURGLARY-AUTO	25Y	5700 REDWOOD RD	Oakland	CA	"5700 REDWOOD RD
Oakland, CA
(37.799552, -122.170839)"
ASSAULT	11/16/2018 12:55:00 AM	18-058020	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	29X	5500 FLEMING AV	Oakland	CA	"5500 FLEMING AV
Oakland, CA
(37.774933, -122.191734)"
ASSAULT	12/13/2018 05:57:00 PM	18-062882	BATTERY	30X	8100 INTERNATIONAL BLVD	Oakland	CA	"8100 INTERNATIONAL BLVD
Oakland, CA
(37.756141, -122.180557)"
MOTOR VEHICLE THEFT	11/19/2018 09:00:00 AM	18-058967	VEHICLE THEFT - AUTO	08X	2700 BROADWAY	Oakland	CA	"2700 BROADWAY
Oakland, CA
(37.815525, -122.264102)"
THEFT/LARCENY	10/19/2018 07:00:00 AM	18-053196	THEFT	14X	300 PARK VIEW TER	Oakland	CA	"300 PARK VIEW TER
Oakland, CA
(37.810836, -122.258875)"
ASSAULT	11/15/2018 12:45:00 PM	18-057935	EXHIBIT FIREARM	05Y	1400 PULLMAN WY	Oakland	CA	"1400 PULLMAN WY
Oakland, CA"
HOMICIDE	12/19/2018 08:55:00 PM	18-063932	MURDER	04X	2100 SAN PABLO AV	Oakland	CA	"2100 SAN PABLO AV
Oakland, CA
(37.810893, -122.273317)"
ROBBERY	10/01/2018 07:35:00 AM	18-049744	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	03X	800 HARRISON ST	Oakland	CA	"800 HARRISON ST
Oakland, CA
(37.799062, -122.270027)"
ASSAULT	10/28/2018 10:40:00 AM	18-054748	BATTERY	12Y	400 59TH ST	Oakland	CA	"400 59TH ST
Oakland, CA
(37.845442, -122.258074)"
THEFT/LARCENY	11/15/2018 06:15:00 PM	18-916484	THEFT	04X	300 14TH ST	Oakland	CA	"300 14TH ST
Oakland, CA
(37.80292, -122.267606)"
ASSAULT	10/04/2018 06:11:00 PM	18-050488	BATTERY	20X	2500 E 12TH ST	Oakland	CA	"2500 E 12TH ST
Oakland, CA
(37.781102, -122.234237)"
THEFT/LARCENY	10/24/2018 09:20:00 PM	18-915336	BURGLARY-AUTO	04X	500 17TH ST	Oakland	CA	"500 17TH ST
Oakland, CA
(37.806915, -122.270726)"
BURGLARY	12/14/2018 09:58:00 AM	18-063056	SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950	32Y	10700 MACARTHUR BLVD	Oakland	CA	"10700 MACARTHUR BLVD
Oakland, CA
(37.741775, -122.150612)"
FRAUD	10/22/2018 01:27:00 PM	18-915250	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	22Y	4000 MIDVALE AV	Oakland	CA	"4000 MIDVALE AV
Oakland, CA
(37.797449, -122.195973)"
ASSAULT	12/03/2018 05:00:00 PM	18-061003	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	77X	6900 LION WY	Oakland	CA	"6900 LION WY
Oakland, CA
(37.756303, -122.197513)"
MOTOR VEHICLE THEFT	12/22/2018 05:58:00 PM	18-064400	VEHICLE THEFT - AUTO	14Y	600 MARIPOSA AV	Oakland	CA	"600 MARIPOSA AV
Oakland, CA
(37.819531, -122.25042)"
DISTURBING THE PEACE	12/12/2018 02:13:00 PM	18-062675	DISTURB THE PEACE	07X	2300 SAN PABLO AV	Oakland	CA	"2300 SAN PABLO AV
Oakland, CA
(37.813591, -122.274188)"
ROBBERY	12/18/2018 02:00:00 AM	18-063613	ROBBERY-FIREARM	18X	1800 FOOTHILL BLVD	Oakland	CA	"1800 FOOTHILL BLVD
Oakland, CA
(37.788748, -122.240509)"
BURGLARY	11/24/2018 03:40:00 PM	18-059460	BURGLARY-FORCIBLE ENTRY	10X	1000 AILEEN ST	Oakland	CA	"1000 AILEEN ST
Oakland, CA
(37.840401, -122.27836)"
ASSAULT	11/14/2018 10:57:00 AM	18-057826	THREAT CRIME:INT:TERRORIZE	26Y	800 69TH AV	Oakland	CA	"800 69TH AV
Oakland, CA
(37.755298, -122.198672)"
THEFT/LARCENY	10/18/2018 12:35:00 AM	18-052826	BURGLARY-AUTO	04X	1500 WEBSTER ST	Oakland	CA	"1500 WEBSTER ST
Oakland, CA
(37.804363, -122.268175)"
THEFT/LARCENY	09/30/2018 01:30:00 PM	18-913763	BURGLARY-AUTO	01X	200 CLAY ST	Oakland	CA	"200 CLAY ST
Oakland, CA
(37.797267, -122.278611)"
MOTOR VEHICLE THEFT	11/05/2018 11:00:00 PM	18-056257	VEHICLE THEFT - AUTO	17Y	3400 13TH AV	Oakland	CA	"3400 13TH AV
Oakland, CA
(37.801893, -122.232044)"
THEFT/LARCENY	10/01/2018 02:45:00 PM	18-049812	RECEIVE/ETC KNOWN STOLEN PROPERTY	31Y	8400 EDES AV	Oakland	CA	"8400 EDES AV
Oakland, CA
(37.741742, -122.195475)"
ASSAULT	11/26/2018 02:00:00 PM	18-059663	INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT	32Y	10700 MACARTHUR BLVD	Oakland	CA	"10700 MACARTHUR BLVD
Oakland, CA
(37.741775, -122.150612)"
THEFT/LARCENY	10/06/2018 09:10:00 AM	18-914139	THEFT	29X	5800 FOOTHILL BLVD	Oakland	CA	"5800 FOOTHILL BLVD
Oakland, CA
(37.771865, -122.192053)"
THEFT/LARCENY	10/15/2018 07:00:00 AM	18-053352	THEFT	19X	1200 9TH AV	Oakland	CA	"1200 9TH AV
Oakland, CA
(37.79239, -122.251143)"
THEFT/LARCENY	11/04/2018 03:10:00 AM	18-915880	THEFT	35X	8700 HILLSIDE ST	Oakland	CA	"8700 HILLSIDE ST
Oakland, CA
(37.757273, -122.163997)"
DRUGS/ALCOHOL VIOLATIONS	12/23/2018 08:37:00 PM	18-064559	POSSESS CONTROLLED SUBSTANCE PARAPHERNALIA	02X	800 MARKET ST	Oakland	CA	"800 MARKET ST
Oakland, CA
(37.803265, -122.282664)"
MOTOR VEHICLE THEFT	10/27/2018 07:00:00 PM	18-054784	VEHICLE THEFT - AUTO	20X	2600 E 16TH ST	Oakland	CA	"2600 E 16TH ST
Oakland, CA
(37.783062, -122.231005)"
MOTOR VEHICLE THEFT	12/17/2018 11:00:00 PM	18-063686	VEHICLE THEFT - AUTO	26Y	7200 SPENCER ST	Oakland	CA	"7200 SPENCER ST
Oakland, CA
(37.756288, -122.193108)"
VANDALISM	10/28/2018 02:26:00 AM	18-054688	VANDALISM (AMENDED)	04X	400 19TH ST	Oakland	CA	"400 19TH ST
Oakland, CA
(37.807302, -122.267798)"
ROBBERY	11/25/2018 06:50:00 PM	18-059532	ROBBERY-FIREARM	24X	3400 FOOTHILL BLVD	Oakland	CA	"3400 FOOTHILL BLVD
Oakland, CA
(37.782817, -122.22002)"
MOTOR VEHICLE THEFT	12/05/2018 08:30:00 AM	18-061391	VEHICLE THEFT - AUTO	06X	800 30TH ST	Oakland	CA	"800 30TH ST
Oakland, CA
(37.820062, -122.273627)"
THEFT/LARCENY	10/06/2018 08:00:00 AM	18-914322	GRAND THEFT	05X	1700 POPLAR ST	Oakland	CA	"1700 POPLAR ST
Oakland, CA
(37.813175, -122.288249)"
MOTOR VEHICLE THEFT	12/23/2018 02:00:00 PM	18-064547	VEHICLE THEFT - AUTO	06X	3900 WEST ST	Oakland	CA	"3900 WEST ST
Oakland, CA
(37.829449, -122.271188)"
MOTOR VEHICLE THEFT	12/14/2018 07:51:00 AM	18-062967	VEHICLE THEFT - AUTO	19X	1200 6TH AV	Oakland	CA	"1200 6TH AV
Oakland, CA
(37.794281, -122.254041)"
ASSAULT	09/30/2018 09:10:00 PM	18-049667	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	23X	3800 ALAMEDA AV	Oakland	CA	"3800 ALAMEDA AV
Oakland, CA
(37.768234, -122.225972)"
