CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
MOTOR VEHICLE THEFT	11/13/2018 12:10:00 PM	18-057535	VEHICLE THEFT - AUTO	31Y	HEGENBERGER RD & LEET DR	Oakland	CA	"HEGENBERGER RD &amp; LEET DR
Oakland, CA
(37.732807, -122.198622)"
DISTURBING THE PEACE	11/07/2018 08:40:00 AM	18-056476	OFFENSIVE WORDS IN PUBLIC PLACE	33X	1300 84TH AV	Oakland	CA	"1300 84TH AV
Oakland, CA
(37.753293, -122.179373)"
ASSAULT	11/14/2018 09:35:00 PM	18-057813	BATTERY	19X	1400 9TH AV	Oakland	CA	"1400 9TH AV
Oakland, CA
(37.792811, -122.250527)"
MOTOR VEHICLE THEFT	11/03/2018 09:00:00 AM	18-056233	ATTEMPT VEHICLE THEFT-AUTO	23X	3300 SAN LEANDRO ST	Oakland	CA	"3300 SAN LEANDRO ST
Oakland, CA
(37.774839, -122.225957)"
ASSAULT	10/01/2018 05:55:00 PM	18-049842	BATTERY	26Y	6500 EASTLAWN ST	Oakland	CA	"6500 EASTLAWN ST
Oakland, CA
(37.76037, -122.196555)"
ASSAULT	10/28/2018 07:15:00 AM	18-054725	EXHIBIT FIREARM	07X	3200 SAN PABLO AV	Oakland	CA	"3200 SAN PABLO AV
Oakland, CA
(37.822525, -122.277063)"
ASSAULT	10/11/2018 09:00:00 AM	18-051633	ASSAULT	07X	1200 28TH ST	Oakland	CA	"1200 28TH ST
Oakland, CA
(37.820538, -122.283335)"
THEFT/LARCENY	10/01/2018 09:47:00 PM	18-049870	PETTY THEFT	10Y	700 43RD ST	Oakland	CA	"700 43RD ST
Oakland, CA
(37.832356, -122.2689)"
ROBBERY	11/09/2018 04:30:00 PM	18-056948	ROBBERY-KNIFE OR CUTTING INSTRUMENT	05Y	1600 16TH ST	Oakland	CA	"1600 16TH ST
Oakland, CA
(37.812771, -122.292936)"
THEFT/LARCENY	10/07/2018 08:25:00 AM	18-914229	GRAND THEFT	27Y	6000 INTERNATIONAL BLVD	Oakland	CA	"6000 INTERNATIONAL BLVD
Oakland, CA
(37.764741, -122.198762)"
MOTOR VEHICLE THEFT	11/14/2018 06:45:00 PM	18-057867	VEHICLE THEFT - AUTO	14X	500 GRAND AV	Oakland	CA	"500 GRAND AV
Oakland, CA
(37.808596, -122.251324)"
DRUGS/ALCOHOL VIOLATIONS	10/02/2018 08:35:00 AM	18-049938	POSSESS/PURCHASE COCAINE BASE FOR SALE	32Y	2600 99TH AV	Oakland	CA	"2600 99TH AV
Oakland, CA
(37.748175, -122.154161)"
THEFT/LARCENY	11/05/2018 09:15:00 AM	18-915850	BURGLARY-AUTO	31X	8400 EDGEWATER DRIVE	Oakland	CA	"8400 EDGEWATER DRIVE
Oakland, CA
(37.737486, -122.198228)"
THEFT/LARCENY	10/25/2018 06:00:00 PM	18-915266	GRAND THEFT	08X	2400 VALDEZ ST	Oakland	CA	"2400 VALDEZ ST
Oakland, CA
(37.813111, -122.263844)"
WEAPONS	10/02/2018 09:34:00 PM	18-050093	CARRY CONCEALED WEAPON IN VEHICLE	26Y	80TH AV & INTERNATIONAL BLVD	Oakland	CA	"80TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.756639, -122.181587)"
THEFT/LARCENY	11/15/2018 10:00:00 PM	18-916481	BURGLARY-AUTO	01X	400 3RD ST	Oakland	CA	"400 3RD ST
Oakland, CA
(37.796218, -122.274569)"
VANDALISM	11/04/2018 03:05:00 AM	18-915873	VANDALISM	07X	2300 MYRTLE ST	Oakland	CA	"2300 MYRTLE ST
Oakland, CA
(37.815869, -122.279285)"
VANDALISM	11/06/2018 07:00:00 PM	18-915896	VANDALISM		19TH ST	Oakland	CA	"19TH ST
Oakland, CA"
MOTOR VEHICLE THEFT	10/08/2018 04:20:00 PM	18-051110	VEHICLE THEFT - AUTO	31Y	400 JONES AV	Oakland	CA	"400 JONES AV
Oakland, CA
(37.734804, -122.188907)"
ROBBERY	10/20/2018 08:52:00 PM	18-053378	CARJACKING WITH FIREARM	32X	98TH AV & C ST	Oakland	CA	"98TH AV &amp; C ST
Oakland, CA
(37.742343, -122.17478)"
THEFT/LARCENY	11/06/2018 06:30:00 PM	18-056401	BURGLARY-AUTO	01X	500 3RD ST	Oakland	CA	"500 3RD ST
Oakland, CA
(37.797189, -122.277105)"
THEFT/LARCENY	10/26/2018 12:00:00 PM	18-915354	THEFT	04X	2200 BROADWAY	Oakland	CA	"2200 BROADWAY
Oakland, CA
(37.810963, -122.266961)"
THEFT/LARCENY	10/23/2018 07:25:00 PM	18-915132	BURGLARY-AUTO	04X	17TH ST & WEBSTER ST	Oakland	CA	"17TH ST &amp; WEBSTER ST
Oakland, CA
(37.805705, -122.267319)"
ROBBERY	10/18/2018 11:04:00 AM	18-052921	CARJACKING - STRONGARM	17Y	E 32ND ST & BEAUMONT AV	Oakland	CA	"E 32ND ST &amp; BEAUMONT AV
Oakland, CA
(37.79963, -122.229169)"
THEFT/LARCENY	10/26/2018 03:30:00 AM	18-915309	GRAND THEFT	25X	3900 HUNTINGTON ST	Oakland	CA	"3900 HUNTINGTON ST
Oakland, CA
(37.788907, -122.188453)"
MOTOR VEHICLE THEFT	10/18/2018 07:00:00 AM	18-053643	VEHICLE THEFT - AUTO	12X	50TH ST & LAWTON AV	Oakland	CA	"50TH ST &amp; LAWTON AV
Oakland, CA
(37.835659, -122.256742)"
DRUGS/ALCOHOL VIOLATIONS	10/04/2018 07:30:00 AM	18-050368	POSSESS CONTROLLED SUBSTANCE FOR SALE	29X	6000 MACARTHUR BLVD	Oakland	CA	"6000 MACARTHUR BLVD
Oakland, CA
(37.775871, -122.182892)"
THEFT/LARCENY	11/08/2018 12:00:00 AM	18-057083	THEFT	06X	39TH ST & MARTIN LUTHER KING JR WY	Oakland	CA	"39TH ST &amp; MARTIN LUTHER KING JR WY
Oakland, CA
(37.829041, -122.2686)"
FRAUD	11/16/2018 03:55:00 PM	18-916491	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	04X	00 LAKESIDE DRIVE	Oakland	CA	"00 LAKESIDE DRIVE
Oakland, CA"
THEFT/LARCENY	10/23/2018 12:00:00 AM	18-054801	THEFT	20X	2900 E 7TH ST	Oakland	CA	"2900 E 7TH ST
Oakland, CA
(37.774061, -122.23266)"
MOTOR VEHICLE THEFT	10/30/2018 06:45:00 AM	18-915567	ATTEMPT VEHICLE THEFT-AUTO	04X	HARRISON ST & 15TH ST	Oakland	CA	"HARRISON ST &amp; 15TH ST
Oakland, CA
(37.803888, -122.266994)"
DUI	10/01/2018 03:00:00 AM	18-049746	DUI ALCOHOL/DRUGS	33X	1300 90TH AV	Oakland	CA	"1300 90TH AV
Oakland, CA
(37.749129, -122.176083)"
ASSAULT	10/20/2018 01:20:00 AM	18-053185	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	20X	1500 27TH AV	Oakland	CA	"1500 27TH AV
Oakland, CA
(37.781602, -122.230671)"
ASSAULT	10/13/2018 12:05:00 AM	18-051942	BATTERY	14X	GRAND AV & HARRISON ST	Oakland	CA	"GRAND AV &amp; HARRISON ST
Oakland, CA
(37.810894, -122.262289)"
THEFT/LARCENY	11/05/2018 07:00:00 PM	18-056313	BURGLARY-AUTO	21Y	3200 SUTER ST	Oakland	CA	"3200 SUTER ST
Oakland, CA
(37.794206, -122.208169)"
DUI	10/21/2018 05:21:00 PM	18-053501	DUI ALCOHOL/DRUGS	23X	41ST AV & INTERNATIONAL BLVD	Oakland	CA	"41ST AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.773502, -122.217159)"
THEFT/LARCENY	11/05/2018 04:20:00 PM	18-915861	BURGLARY-AUTO	13Z	1900 MOUNTAIN BOULEVARD	Oakland	CA	"1900 MOUNTAIN BOULEVARD
Oakland, CA
(37.829079, -122.210837)"
FRAUD	10/26/2018 07:30:00 AM	18-915245	USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.	03X	MADISON ST & 11TH ST	Oakland	CA	"MADISON ST &amp; 11TH ST
Oakland, CA
(37.799456, -122.265355)"
ROBBERY	10/10/2018 09:49:00 AM	18-051422	ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)	04X	300 22ND ST	Oakland	CA	"300 22ND ST
Oakland, CA
(37.810614, -122.26523)"
ASSAULT	10/03/2018 09:29:00 PM	18-050305	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	03X	14TH ST & HARRISON ST	Oakland	CA	"14TH ST &amp; HARRISON ST
Oakland, CA
(37.80292, -122.267606)"
ROBBERY	10/08/2018 08:30:00 PM	18-051148	ROBBERY-FIREARM	02Y	900 PERALTA ST	Oakland	CA	"900 PERALTA ST
Oakland, CA
(37.808067, -122.296554)"
VANDALISM	11/06/2018 04:24:00 PM	18-056421	VANDALISM	32Y	10400 BANCROFT AV	Oakland	CA	"10400 BANCROFT AV
Oakland, CA
(37.742767, -122.157512)"
VANDALISM	10/07/2018 10:45:00 AM	18-050916	VANDALISM	10X	MARSHALL ST & STANFORD AV	Oakland	CA	"MARSHALL ST &amp; STANFORD AV
Oakland, CA
(37.840487, -122.283916)"
THEFT/LARCENY	10/26/2018 11:15:00 AM	18-915276	THEFT	04X	2100 WEBSTER ST	Oakland	CA	"2100 WEBSTER ST
Oakland, CA
(37.809947, -122.265796)"
MOTOR VEHICLE THEFT	10/08/2018 05:00:00 PM	18-051239	VEHICLE THEFT - AUTO	27Y	5300 FAIRFAX AV	Oakland	CA	"5300 FAIRFAX AV
Oakland, CA
(37.772627, -122.200793)"
ASSAULT	10/10/2018 11:29:00 PM	18-051362	ASSAULT WITH FIREARM ON PERSON	35X	2300 92ND AV	Oakland	CA	"2300 92ND AV
Oakland, CA
(37.753201, -122.164087)"
THEFT/LARCENY	10/07/2018 01:00:00 AM	18-914137	BURGLARY-AUTO	04X	17TH ST & TELEGRAPH AV	Oakland	CA	"17TH ST &amp; TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
ASSAULT	10/29/2018 08:35:00 AM	18-054933	THREAT CRIME:INT:TERRORIZE	04X	00 FRANK H OGAWA PLZ	Oakland	CA	"00 FRANK H OGAWA PLZ
Oakland, CA"
ARSON	10/25/2018 09:55:00 PM	18-054311	MAL SET/ETC FIRE PROP/ETC - MOTOR VEHICLES	07X	34TH ST & WOOD ST	Oakland	CA	"34TH ST &amp; WOOD ST
Oakland, CA
(37.824506, -122.290687)"
MOTOR VEHICLE THEFT	10/15/2018 06:00:00 AM	18-052377	VEHICLE THEFT - AUTO	24X	35TH AV & HARPER ST	Oakland	CA	"35TH AV &amp; HARPER ST
Oakland, CA
(37.783699, -122.217517)"
THEFT/LARCENY	11/14/2018 03:20:00 PM	18-057749	THEFT	34X	83RD AV & INTERNATIONAL BLVD	Oakland	CA	"83RD AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.75514, -122.178467)"
BURGLARY	11/14/2018 11:02:00 PM	18-057820	BURGLARY-FORCIBLE ENTRY	19X	500 E 11TH ST	Oakland	CA	"500 E 11TH ST
Oakland, CA
(37.794267, -122.255601)"
ASSAULT	10/15/2018 05:50:00 PM	18-052450	CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE	26X	HIGH ST & SAN LEANDRO ST	Oakland	CA	"HIGH ST &amp; SAN LEANDRO ST
Oakland, CA
(37.770611, -122.217148)"
THEFT/LARCENY	11/11/2018 06:00:00 PM	18-916274	BURGLARY-AUTO	04X	15TH ST & FRANKLIN ST	Oakland	CA	"15TH ST &amp; FRANKLIN ST
Oakland, CA
(37.804815, -122.269353)"
MOTOR VEHICLE THEFT	10/31/2018 05:30:00 PM	18-055341	VEHICLE THEFT - AUTO	32Y	MACARTHUR BLVD & FISHER AV	Oakland	CA	"MACARTHUR BLVD &amp; FISHER AV
Oakland, CA
(37.744125, -122.153621)"
THEFT/LARCENY	11/07/2018 08:00:00 PM	18-056599	BURGLARY-AUTO	01X	3RD ST & WASHINGTON ST	Oakland	CA	"3RD ST &amp; WASHINGTON ST
Oakland, CA
(37.797204, -122.277146)"
THEFT/LARCENY	11/15/2018 04:00:00 PM	18-058104	THEFT	22X	2300 WILBUR ST	Oakland	CA	"2300 WILBUR ST
Oakland, CA
(37.803974, -122.210907)"
VANDALISM	10/11/2018 10:30:00 AM	18-914392	VANDALISM	01X	200 JEFFERSON ST	Oakland	CA	"200 JEFFERSON ST
Oakland, CA
(37.797489, -122.279964)"
ASSAULT	11/16/2018 11:50:00 AM	18-058081	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	07X	3100 FILBERT ST	Oakland	CA	"3100 FILBERT ST
Oakland, CA
(37.821927, -122.278218)"
MOTOR VEHICLE THEFT	11/10/2018 04:10:00 PM	18-057114	VEHICLE THEFT - AUTO	34X	92ND AV & INTERNATIONAL BLVD	Oakland	CA	"92ND AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.748754, -122.173669)"
FRAUD	10/23/2018 12:00:00 PM	18-054212	UNAUTHORIZED USE/DESTROY/ETC DAIRY BRAND REG [OVER $400]	30Y	2700 76TH AV	Oakland	CA	"2700 76TH AV
Oakland, CA
(37.766607, -122.171708)"
ASSAULT	10/29/2018 01:48:00 AM	18-054826	WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER	21Y	3300 COOLIDGE AV	Oakland	CA	"3300 COOLIDGE AV
Oakland, CA
(37.795868, -122.211373)"
ROBBERY	10/07/2018 11:29:00 PM	18-050999	ROBBERY-FIREARM	19X	400 EMBARCADERO	Oakland	CA	"400 EMBARCADERO
Oakland, CA
(37.790457, -122.260834)"
THEFT/LARCENY	11/06/2018 06:00:00 AM	18-056505	THEFT	13Z	2100 MASTLANDS DR	Oakland	CA	"2100 MASTLANDS DR
Oakland, CA
(37.817568, -122.196184)"
THEFT/LARCENY	10/27/2018 01:25:00 AM	18-054508	BURGLARY-AUTO	03X	200 13TH ST	Oakland	CA	"200 13TH ST
Oakland, CA
(37.801294, -122.265655)"
VANDALISM	11/06/2018 10:36:00 PM	18-915867	VANDALISM	18Y	3000 23RD AVE	Oakland	CA	"3000 23RD AVE
Oakland, CA
(37.796455, -122.225782)"
THEFT/LARCENY	10/26/2018 09:45:00 AM	18-915328	GRAND THEFT	19X	1700 EMBARCADERO	Oakland	CA	"1700 EMBARCADERO
Oakland, CA
(37.785863, -122.24564)"
VANDALISM	10/29/2018 11:40:00 AM	18-054903	VANDALISM	11X	6300 TELEGRAPH AV	Oakland	CA	"6300 TELEGRAPH AV
Oakland, CA
(37.848871, -122.260697)"
ASSAULT	10/28/2018 09:08:00 PM	18-054807	BATTERY W/SERIOUS BODILY INJURY	26X	4700 INTERNATIONAL BLVD	Oakland	CA	"4700 INTERNATIONAL BLVD
Oakland, CA
(37.770379, -122.210682)"
SEX CRIMES	10/09/2018 11:58:00 PM	18-051178	LOITER:INTENT:PROSTITUTION	20X	26TH AV & INTERNATIONAL BLVD	Oakland	CA	"26TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.781367, -122.232606)"
THEFT/LARCENY	10/16/2018 11:38:00 AM	18-052544	BURGLARY-AUTO	27X	47TH AV & BOND ST	Oakland	CA	"47TH AV &amp; BOND ST
Oakland, CA
(37.772496, -122.209249)"
THEFT/LARCENY	10/17/2018 07:00:00 PM	18-914807	BURGLARY-AUTO	01X	JEFFERSON ST & 3RD ST	Oakland	CA	"JEFFERSON ST &amp; 3RD ST
Oakland, CA
(37.798172, -122.279478)"
VANDALISM	10/10/2018 05:38:00 PM	18-051509	VANDALISM	31X	00 HEGENBERGER RD	Oakland	CA	"00 HEGENBERGER RD
Oakland, CA"
ASSAULT	11/06/2018 01:35:00 PM	18-056416	THREAT CRIME:INT:TERRORIZE	29X	2500 60TH AV	Oakland	CA	"2500 60TH AV
Oakland, CA
(37.770231, -122.19079)"
THEFT/LARCENY	10/12/2018 08:50:00 PM	18-051926	BURGLARY-AUTO	03X	11TH ST & HARRISON ST	Oakland	CA	"11TH ST &amp; HARRISON ST
Oakland, CA
(37.800855, -122.268903)"
ROBBERY	11/15/2018 03:35:00 PM	18-057934	ATTEMPTED ROBBERY-STRONG-ARM	04X	300 20TH ST	Oakland	CA	"300 20TH ST
Oakland, CA
(37.80816, -122.264712)"
ASSAULT	11/15/2018 03:30:00 PM	18-057937	BATTERY	17X	1800 8TH AV	Oakland	CA	"1800 8TH AV
Oakland, CA
(37.796168, -122.24765)"
DISTURBING THE PEACE	10/28/2018 11:13:00 AM	18-054792	DISTURB THE PEACE	16Y	3400 MORRISON AV	Oakland	CA	"3400 MORRISON AV
Oakland, CA
(37.799594, -122.220124)"
MOTOR VEHICLE THEFT	10/05/2018 10:25:00 AM	18-050589	VEHICLE THEFT - AUTO	20X	E 15TH ST & MILLER AV	Oakland	CA	"E 15TH ST &amp; MILLER AV
Oakland, CA
(37.783583, -122.234084)"
ASSAULT	10/27/2018 12:00:00 AM	18-054503	ASSAULT WITH FIREARM ON PERSON	15X	1ST AV & FOOTHILL BLVD	Oakland	CA	"1ST AV &amp; FOOTHILL BLVD
Oakland, CA"
ASSAULT	11/15/2018 06:30:00 PM	18-057975	INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT	32Y	2600 99TH AV	Oakland	CA	"2600 99TH AV
Oakland, CA
(37.748175, -122.154161)"
THEFT/LARCENY	10/10/2018 10:05:00 PM	18-914389	BURGLARY-AUTO	08X	3900 BROADWAY	Oakland	CA	"3900 BROADWAY
Oakland, CA
(37.826647, -122.257182)"
THEFT/LARCENY	10/31/2018 04:00:00 AM	18-915847	BURGLARY-AUTO	07X	3200 MAGNOLIA ST	Oakland	CA	"3200 MAGNOLIA ST
Oakland, CA
(37.824292, -122.281967)"
ASSAULT	10/03/2018 07:47:00 AM	18-050148	BATTERY	20X	E 12TH ST & 31ST AV	Oakland	CA	"E 12TH ST &amp; 31ST AV
Oakland, CA
(37.776779, -122.227321)"
ASSAULT	10/01/2018 04:22:00 PM	18-049827	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	34X	9500 CHERRY ST	Oakland	CA	"9500 CHERRY ST
Oakland, CA
(37.748357, -122.16759)"
MOTOR VEHICLE THEFT	10/28/2018 10:45:00 PM	18-054816	VEHICLE THEFT - AUTO	30Y	7200 BANCROFT AV	Oakland	CA	"7200 BANCROFT AV
Oakland, CA
(37.766093, -122.177258)"
ASSAULT	10/19/2018 10:10:00 PM	18-053171	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	23X	4200 INTERNATIONAL BLVD	Oakland	CA	"4200 INTERNATIONAL BLVD
Oakland, CA
(37.772721, -122.215522)"
THEFT/LARCENY	10/28/2018 09:00:00 AM	18-054759	GRAND THEFT FROM PERSON	19X	E 10TH ST & 2ND AV	Oakland	CA	"E 10TH ST &amp; 2ND AV
Oakland, CA
(37.795953, -122.259166)"
ASSAULT	10/28/2018 03:25:00 AM	18-054694	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	29X	3100 64TH AV	Oakland	CA	"3100 64TH AV
Oakland, CA
(37.772631, -122.181635)"
ASSAULT	11/07/2018 11:42:00 AM	18-056512	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	32Y	9800 MACARTHUR BLVD	Oakland	CA	"9800 MACARTHUR BLVD
Oakland, CA
(37.749533, -122.158613)"
THEFT/LARCENY	10/26/2018 08:40:00 PM	18-915361	BURGLARY-AUTO	01X	200 WEBSTER ST	Oakland	CA	"200 WEBSTER ST
Oakland, CA
(37.795442, -122.273739)"
THEFT/LARCENY	10/05/2018 07:00:00 PM	18-914118	BURGLARY-AUTO	04X	600 20TH ST	Oakland	CA	"600 20TH ST
Oakland, CA
(37.809993, -122.272269)"
VANDALISM	10/28/2018 01:00:00 PM	18-054814	VANDALISM	21X	1900 26TH AV	Oakland	CA	"1900 26TH AV
Oakland, CA
(37.784947, -122.228618)"
ASSAULT	10/28/2018 03:50:00 PM	18-054782	EXHIBIT DEADLY WEAPON OTHER THAN FIREARM	07X	3100 FILBERT ST	Oakland	CA	"3100 FILBERT ST
Oakland, CA
(37.821927, -122.278218)"
THEFT/LARCENY	11/06/2018 11:00:00 AM	18-915913	GRAND THEFT	30Y	6900 FOOTHILL BOULEVARD	Oakland	CA	"6900 FOOTHILL BOULEVARD
Oakland, CA
(37.769668, -122.175929)"
