CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
THEFT/LARCENY,10/03/2018 12:00:00 AM,18-050413,THEFT,08X,2500 NORTHGATE AV,Oakland,CA,"2500 NORTHGATE AV
Oakland, CA"
THEFT/LARCENY,08/28/2018 07:00:00 PM,18-043750,THEFT,15X,600 WESLEY AV,Oakland,CA,"600 WESLEY AV
Oakland, CA
(37.806634, -122.24666)"
FRAUD,10/11/2018 10:05:00 PM,18-914410,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,22Y,2900 MORGAN AV,Oakland,CA,"2900 MORGAN AV
Oakland, CA
(37.802367, -122.202168)"
THEFT/LARCENY,08/25/2018 02:30:00 PM,18-912040,THEFT,02X,1200 7TH ST,Oakland,CA,"1200 7TH ST
Oakland, CA
(37.804371, -122.290354)"
DRUGS/ALCOHOL VIOLATIONS,08/29/2018 06:20:00 PM,18-043669,POSSESS CONTROLLED SUBSTANCE FOR SALE,19X,2200 E 12TH ST,Oakland,CA,"2200 E 12TH ST
Oakland, CA
(37.78366, -122.238411)"
THEFT/LARCENY,08/06/2018 06:30:00 PM,18-910754,THEFT,09X,3900 PIEDMONT AV,Oakland,CA,"3900 PIEDMONT AV
Oakland, CA
(37.825009, -122.254256)"
ASSAULT,09/30/2018 09:00:00 AM,18-049596,SC DISCHARGING FIREARM,17Y,1300 E 28TH ST,Oakland,CA,"1300 E 28TH ST
Oakland, CA
(37.7992, -122.235368)"
THEFT/LARCENY,08/08/2018 11:25:00 PM,18-910813,BURGLARY-AUTO,04X,1700 FRANKLIN ST,Oakland,CA,"1700 FRANKLIN ST
Oakland, CA
(37.806175, -122.268505)"
THEFT/LARCENY,10/08/2018 02:40:00 PM,18-914201,BURGLARY-AUTO,09X,1900 PLEASANT VALLEY AV,Oakland,CA,"1900 PLEASANT VALLEY AV
Oakland, CA
(37.830891, -122.24812)"
MOTOR VEHICLE THEFT,09/05/2018 11:00:00 PM,18-045554,VEHICLE THEFT - AUTO,14Y,00 MOSS AV,Oakland,CA,"00 MOSS AV
Oakland, CA"
MOTOR VEHICLE THEFT,08/28/2018 07:30:00 PM,18-043692,VEHICLE THEFT - AUTO,10X,1000 62ND ST,Oakland,CA,"1000 62ND ST
Oakland, CA
(37.845624, -122.279823)"
WEAPONS,08/10/2018 07:11:00 AM,18-040018,CARRY LOADED FIREARM:UNLAWFUL/PROHIBATED POSSESSION,19X,1400 17TH AV,Oakland,CA,"1400 17TH AV
Oakland, CA
(37.787674, -122.243166)"
VANDALISM,10/03/2018 07:15:00 PM,18-913969,VANDALISM,11X,500 51ST ST,Oakland,CA,"500 51ST ST
Oakland, CA
(37.837313, -122.262257)"
ASSAULT,08/29/2018 03:30:00 PM,18-043814,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,3300 SUTER ST,Oakland,CA,"3300 SUTER ST
Oakland, CA
(37.793163, -122.206922)"
THEFT/LARCENY,10/04/2018 11:42:00 AM,18-050427,BURGLARY-AUTO,23X,1800 34TH AV,Oakland,CA,"1800 34TH AV
Oakland, CA
(37.781533, -122.221411)"
THEFT/LARCENY,10/09/2018 09:00:00 AM,18-914242,BURGLARY-AUTO,14X,100 BAY PL,Oakland,CA,"100 BAY PL
Oakland, CA
(37.811817, -122.260582)"
ASSAULT,09/18/2018 12:49:00 AM,18-047279,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,07X,3200 ETTIE ST,Oakland,CA,"3200 ETTIE ST
Oakland, CA
(37.823313, -122.287956)"
DRUGS/ALCOHOL VIOLATIONS,09/24/2018 02:45:00 PM,18-048478,POSSESS CONTROLLED SUBSTANCE,23X,1300 42ND AV,Oakland,CA,"1300 42ND AV
Oakland, CA
(37.77242, -122.216628)"
BURGLARY,10/04/2018 02:22:00 AM,18-050337,BURGLARY-FORCIBLE ENTRY,04X,1400 LAKESIDE DR,Oakland,CA,"1400 LAKESIDE DR
Oakland, CA
(37.801656, -122.262515)"
VANDALISM,08/09/2018 09:00:00 PM,18-910835,VANDALISM,30X,1600 CHURCH ST,Oakland,CA,"1600 CHURCH ST
Oakland, CA
(37.762419, -122.18851)"
THEFT/LARCENY,09/14/2018 01:55:00 AM,18-912926,GRAND THEFT,16X,700 CALMAR AV,Oakland,CA,"700 CALMAR AV
Oakland, CA
(37.812393, -122.23786)"
THEFT/LARCENY,09/14/2018 12:35:00 PM,18-912976,THEFT,03X,800 FRANKLIN ST,Oakland,CA,"800 FRANKLIN ST
Oakland, CA
(37.799853, -122.272477)"
VANDALISM,08/21/2018 02:00:00 AM,18-042182,VANDALISM-$400+,21Y,3100 LYNDE ST,Oakland,CA,"3100 LYNDE ST
Oakland, CA
(37.790455, -122.217687)"
THEFT/LARCENY,09/04/2018 11:00:00 AM,18-044946,BURGLARY-AUTO,09X,4300 BROADWAY,Oakland,CA,"4300 BROADWAY
Oakland, CA
(37.831729, -122.254003)"
VANDALISM,09/25/2018 01:15:00 AM,18-048551,VANDALISM-$400+,04X,1700 WEBSTER ST,Oakland,CA,"1700 WEBSTER ST
Oakland, CA
(37.805977, -122.267156)"
ASSAULT,08/09/2018 09:00:00 PM,18-039832,THREAT CRIME:INT:TERRORIZE,26Y,1200 78TH AV,Oakland,CA,"1200 78TH AV
Oakland, CA
(37.75566, -122.186436)"
ROBBERY,09/07/2018 03:07:00 PM,18-045410,ROBBERY-KNIFE OR CUTTING INSTRUMENT,16Y,1300 CHATHAM RD,Oakland,CA,"1300 CHATHAM RD
Oakland, CA
(37.80463, -122.233267)"
THEFT/LARCENY,07/28/2018 11:13:00 PM,18-038048,THEFT,15X,400 MERRITT AV,Oakland,CA,"400 MERRITT AV
Oakland, CA
(37.80595, -122.249086)"
THEFT/LARCENY,08/17/2018 12:10:00 PM,18-911329,BURGLARY-AUTO,22Y,3100 JOAQUIN MILLER RD,Oakland,CA,"3100 JOAQUIN MILLER RD
Oakland, CA
(37.810513, -122.193183)"
ROBBERY,10/12/2018 07:15:00 PM,18-051910,ROBBERY-FIREARM,34X,9500 INTERNATIONAL BLVD,Oakland,CA,"9500 INTERNATIONAL BLVD
Oakland, CA
(37.746458, -122.171986)"
WEAPONS,09/25/2018 08:51:00 PM,18-048770,ALTER/REMOVE/ETC IDENTIFICATION MARKS ON FIREARM,30X,1400 74TH AV,Oakland,CA,"1400 74TH AV
Oakland, CA
(37.759237, -122.18556)"
THEFT/LARCENY,07/28/2018 08:05:00 AM,18-910182,BURGLARY-AUTO,21Y,3200 FOOTHILL BLVD,Oakland,CA,"3200 FOOTHILL BLVD
Oakland, CA
(37.783484, -122.221991)"
BURGLARY,09/22/2018 08:30:00 AM,18-913515,BURGLARY-FORCIBLE ENTRY,14Y,500 JEAN ST,Oakland,CA,"500 JEAN ST
Oakland, CA
(37.81635, -122.249544)"
ROBBERY,09/15/2018 10:50:00 PM,18-046919,ROBBERY/INHABITED DWELLING - FIREARM,77X,1500 PULLMAN,Oakland,CA,"1500 PULLMAN
Oakland, CA"
VANDALISM,08/17/2018 06:00:00 PM,18-911435,VANDALISM,03Y,1000 BROADWAY,Oakland,CA,"1000 BROADWAY
Oakland, CA
(37.801863, -122.272663)"
VANDALISM,10/07/2018 09:26:00 PM,18-914236,VANDALISM,04X,1800 SAN PABLO AV,Oakland,CA,"1800 SAN PABLO AV
Oakland, CA
(37.808106, -122.272441)"
MOTOR VEHICLE THEFT,09/12/2018 10:30:00 PM,18-046446,VEHICLE THEFT - AUTO,15X,600 ALMA AV,Oakland,CA,"600 ALMA AV
Oakland, CA
(37.804296, -122.239172)"
DRUGS/ALCOHOL VIOLATIONS,08/21/2018 11:50:00 AM,18-042278,POSSESS CONTROLLED SUBSTANCE,13Y,6600 BROADWAY TER,Oakland,CA,"6600 BROADWAY TER
Oakland, CA
(37.841359, -122.224044)"
THEFT/LARCENY,08/27/2018 07:30:00 PM,18-043481,THEFT,31X,7000 COLISEUM WY,Oakland,CA,"7000 COLISEUM WY
Oakland, CA
(37.754734, -122.204926)"
THEFT/LARCENY,07/30/2018 06:00:00 PM,18-910279,BURGLARY-AUTO,04X,400 21ST ST,Oakland,CA,"400 21ST ST
Oakland, CA
(37.809918, -122.266958)"
ASSAULT,08/10/2018 08:00:00 AM,18-040188,THREAT CRIME:INT:TERRORIZE,10Y,4000 ST,Oakland,CA,"4000 ST
Oakland, CA"
THEFT/LARCENY,09/26/2018 09:31:00 AM,18-913540,GRAND THEFT,03Y,1200 CLAY ST,Oakland,CA,"1200 CLAY ST
Oakland, CA
(37.804497, -122.27411)"
THEFT/LARCENY,09/15/2018 07:00:00 AM,18-912925,BURGLARY-AUTO,14Y,3700 GRAND AV,Oakland,CA,"3700 GRAND AV
Oakland, CA
(37.816462, -122.245456)"
THEFT/LARCENY,07/27/2018 03:45:00 PM,18-910252,BURGLARY-AUTO,01X,100 WASHINGTON ST,Oakland,CA,"100 WASHINGTON ST
Oakland, CA
(37.795899, -122.278007)"
VANDALISM,10/02/2018 01:21:00 AM,18-913906,VANDALISM,04X,500 WILLIAM ST,Oakland,CA,"500 WILLIAM ST
Oakland, CA
(37.809168, -122.271154)"
THEFT/LARCENY,04/14/2019 11:00:00 AM,14-019401,BURGLARY-AUTO,12X,300 ORANGE ST,Oakland,CA,"300 ORANGE ST
Oakland, CA
(37.815589, -122.257212)"
ASSAULT,10/13/2018 12:40:00 PM,18-052006,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,34X,9700 PLYMOUTH ST,Oakland,CA,"9700 PLYMOUTH ST
Oakland, CA
(37.746612, -122.167767)"
THEFT/LARCENY,10/08/2018 11:00:00 AM,18-914213,BURGLARY-AUTO,11X,5700 SHATTUCK AV,Oakland,CA,"5700 SHATTUCK AV
Oakland, CA
(37.842641, -122.26482)"
ASSAULT,08/18/2018 06:41:00 PM,18-041786,THREAT CRIME:INT:TERRORIZE,32X,10800 INTERNATIONAL BLVD,Oakland,CA,"10800 INTERNATIONAL BLVD
Oakland, CA
(37.737306, -122.165166)"
THEFT/LARCENY,07/30/2018 05:30:00 PM,18-038061,THEFT,23X,3400 E 12TH ST,Oakland,CA,"3400 E 12TH ST
Oakland, CA
(37.776022, -122.224006)"
MOTOR VEHICLE THEFT,08/17/2018 03:31:00 PM,18-041412,VEHICLE THEFT - AUTO,33X,1200 83RD AV,Oakland,CA,"1200 83RD AV
Oakland, CA
(37.753231, -122.181678)"
THEFT/LARCENY,08/29/2018 03:00:00 PM,18-912056,BURGLARY-AUTO,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)"
THEFT/LARCENY,10/07/2018 06:30:00 PM,18-914197,BURGLARY-AUTO,19X,400 INTERNATIONAL BLVD,Oakland,CA,"400 INTERNATIONAL BLVD
Oakland, CA
(37.796481, -122.254668)"
THEFT/LARCENY,08/21/2018 06:00:00 PM,18-911508,THEFT,30X,7800 OLIVE ST,Oakland,CA,"7800 OLIVE ST
Oakland, CA
(37.762218, -122.174012)"
MOTOR VEHICLE THEFT,08/08/2018 12:30:00 PM,18-039640,VEHICLE THEFT - AUTO,02X,800 8TH ST,Oakland,CA,"800 8TH ST
Oakland, CA
(37.802408, -122.279327)"
MOTOR VEHICLE THEFT,08/21/2018 10:30:00 AM,18-042155,VEHICLE THEFT - AUTO,26X,700 KEVIN CT,Oakland,CA,"700 KEVIN CT
Oakland, CA
(37.758133, -122.207264)"
DUI,08/19/2018 12:40:00 AM,18-041832,DUI ALCOHOL/DRUGS,30X,1400 73RD AV,Oakland,CA,"1400 73RD AV
Oakland, CA
(37.75929, -122.186788)"
VANDALISM,07/27/2018 08:49:00 AM,18-037374,VANDALISM:DAMAGE PROPERTY,21Y,3200 BOSTON AV,Oakland,CA,"3200 BOSTON AV
Oakland, CA
(37.796345, -122.214098)"
DISTURBING THE PEACE,10/02/2018 05:07:00 PM,18-913980,ANNOYING TELEPHONE CALL:OBSCENE/THREATENING,28X,3000 RAWSON ST,Oakland,CA,"3000 RAWSON ST
Oakland, CA
(37.779648, -122.193625)"
THEFT/LARCENY,08/22/2018 08:00:00 PM,18-912242,BURGLARY-AUTO,08X,2400 WEBSTER ST,Oakland,CA,"2400 WEBSTER ST
Oakland, CA
(37.813446, -122.264865)"
THEFT/LARCENY,08/19/2018 09:30:00 PM,18-911410,THEFT,07X,1200 32ND ST,Oakland,CA,"1200 32ND ST
Oakland, CA
(37.824048, -122.282251)"
THEFT/LARCENY,10/08/2018 01:08:00 AM,18-051007,THEFT,31Y,500 HEGENBERGER RD,Oakland,CA,"500 HEGENBERGER RD
Oakland, CA
(37.742152, -122.196132)"
THEFT/LARCENY,08/17/2018 10:00:00 PM,18-911387,BURGLARY-AUTO,04X,1900 FRANKLIN ST,Oakland,CA,"1900 FRANKLIN ST
Oakland, CA
(37.807302, -122.267798)"
FRAUD,08/21/2018 10:30:00 AM,18-911468,USE ANOTHER'S PERSONAL IDENTIFICATION TO OBTAIN CREDIT/ETC.,25X,3700 QUIGLEY ST,Oakland,CA,"3700 QUIGLEY ST
Oakland, CA
(37.79109, -122.200932)"
THEFT/LARCENY,09/13/2018 08:20:00 PM,18-913002,BURGLARY-AUTO,01X,300 CLAY ST,Oakland,CA,"300 CLAY ST
Oakland, CA
(37.797987, -122.278148)"
ASSAULT,07/29/2018 12:44:00 AM,18-037794,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,23X,1600 35TH AV,Oakland,CA,"1600 35TH AV
Oakland, CA
(37.779128, -122.221046)"
VANDALISM,10/06/2018 08:30:00 PM,18-050893,VANDALISM $400 OR MORE,02Y,1500 9TH ST,Oakland,CA,"1500 9TH ST
Oakland, CA
(37.80744, -122.29532)"
