CRIMETYPE	DATETIME	CASENUMBER	DESCRIPTION	POLICEBEAT	ADDRESS	CITY	STATE	Location
BURGLARY	12/02/2018 08:45:00 AM	18-060797	BURGLARY-FORCIBLE ENTRY	26Y	7200 HAMILTON ST	Oakland	CA	"7200 HAMILTON ST
Oakland, CA
(37.757446, -122.191302)"
THEFT/LARCENY	12/01/2018 12:30:00 PM	18-917451	GRAND THEFT	12Y	6300 COLLEGE AV	Oakland	CA	"6300 COLLEGE AV
Oakland, CA
(37.850007, -122.252346)"
ROBBERY	12/21/2018 12:40:00 AM	18-064129	ROBBERY-FIREARM	21X	2400 E 24TH ST	Oakland	CA	"2400 E 24TH ST
Oakland, CA
(37.789528, -122.227257)"
THEFT/LARCENY	12/19/2018 12:00:00 AM	18-064237	THEFT	03X	00 10TH ST	Oakland	CA	"00 10TH ST
Oakland, CA"
THEFT/LARCENY	12/04/2018 06:00:00 PM	18-917623	BURGLARY-AUTO	08X	2400 BROADWAY	Oakland	CA	"2400 BROADWAY
Oakland, CA
(37.813391, -122.265467)"
MOTOR VEHICLE THEFT	12/23/2018 12:30:00 AM	18-064731	VEHICLE THEFT - AUTO	05X	900 21ST ST	Oakland	CA	"900 21ST ST
Oakland, CA
(37.813107, -122.279041)"
THEFT/LARCENY	12/05/2018 07:30:00 PM	18-917686	BURGLARY-AUTO	04X	400 22ND ST	Oakland	CA	"400 22ND ST
Oakland, CA
(37.81094, -122.267393)"
MOTOR VEHICLE THEFT	12/07/2018 02:30:00 PM	18-062226	VEHICLE THEFT - AUTO	16Y	1200 TRESTLE GLEN RD	Oakland	CA	"1200 TRESTLE GLEN RD
Oakland, CA
(37.807202, -122.230825)"
MOTOR VEHICLE THEFT	12/26/2018 09:37:00 AM	18-064912	VEHICLE THEFT - AUTO	19X	1800 SOLANO WY	Oakland	CA	"1800 SOLANO WY
Oakland, CA
(37.786616, -122.242371)"
ASSAULT	12/15/2018 07:40:00 PM	18-063227	FORCE/ADW-OTHER DANGEROUS WEAPON:GBI	06X	2200 SAN PABLO AV	Oakland	CA	"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)"
ASSAULT	12/23/2018 06:00:00 PM	18-064693	THREAT CRIME:INT:TERRORIZE	30Y	7700 MACARTHUR BLVD	Oakland	CA	"7700 MACARTHUR BLVD
Oakland, CA
(37.766757, -122.168607)"
ASSAULT	12/25/2018 09:00:00 PM	18-064866	BATTERY	33X	1200 84TH AV	Oakland	CA	"1200 84TH AV
Oakland, CA
(37.75254, -122.180982)"
THEFT/LARCENY	12/05/2018 07:45:00 PM	18-917673	BURGLARY-AUTO	08X	2800 BROADWAY	Oakland	CA	"2800 BROADWAY
Oakland, CA
(37.816574, -122.263462)"
BURGLARY	12/09/2018 02:00:00 AM	18-062045	BURGLARY-FORCIBLE ENTRY	19X	1200 E 12TH ST	Oakland	CA	"1200 E 12TH ST
Oakland, CA
(37.789826, -122.248871)"
BURGLARY	12/25/2018 10:00:00 AM	18-064779	BURGLARY-NO FORCE	23X	1200 42ND AV	Oakland	CA	"1200 42ND AV
Oakland, CA
(37.77197, -122.217222)"
VANDALISM	12/02/2018 10:00:00 PM	18-917426	VANDALISM	10X	1000 54TH ST	Oakland	CA	"1000 54TH ST
Oakland, CA
(37.838306, -122.277963)"
THEFT/LARCENY	12/03/2018 07:45:00 PM	18-917567	BURGLARY-AUTO	08X	300 26TH ST	Oakland	CA	"300 26TH ST
Oakland, CA
(37.814603, -122.263385)"
THEFT/LARCENY	12/03/2018 11:20:00 PM	18-917444	BURGLARY-AUTO	04X	2100 TELEGRAPH AV	Oakland	CA	"2100 TELEGRAPH AV
Oakland, CA
(37.810756, -122.269262)"
THEFT/LARCENY	12/05/2018 07:30:00 PM	18-917692	BURGLARY-AUTO	12X	5000 TELEGRAPH AV	Oakland	CA	"5000 TELEGRAPH AV
Oakland, CA
(37.83653, -122.262463)"
VANDALISM	12/16/2018 08:33:00 AM	18-063289	VANDALISM	05X	1300 16TH ST	Oakland	CA	"1300 16TH ST
Oakland, CA
(37.811732, -122.288578)"
VANDALISM	12/07/2018 12:00:00 AM	18-062606	VANDALISM	27Y	2000 64TH AV	Oakland	CA	"2000 64TH AV
Oakland, CA
(37.765343, -122.192291)"
VANDALISM	12/02/2018 10:00:00 PM	18-917414	VANDALISM	77X	HARPER ST	Oakland	CA	"HARPER ST
Oakland, CA"
THEFT/LARCENY	12/04/2018 08:00:00 AM	18-917646	BURGLARY-AUTO	04X	1700 WEBSTER ST	Oakland	CA	"1700 WEBSTER ST
Oakland, CA
(37.805977, -122.267156)"
ASSAULT	11/30/2018 08:00:00 AM	18-060911	CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE	04X	2100 SAN PABLO AV	Oakland	CA	"2100 SAN PABLO AV
Oakland, CA
(37.810893, -122.273317)"
MOTOR VEHICLE THEFT	12/14/2018 05:30:00 PM	18-063178	VEHICLE THEFT - AUTO	10Y	600 40TH ST	Oakland	CA	"600 40TH ST
Oakland, CA
(37.829636, -122.267225)"
THEFT/LARCENY	12/05/2018 04:00:00 AM	18-917638	BURGLARY-AUTO	14X	100 MONTECITO AV	Oakland	CA	"100 MONTECITO AV
Oakland, CA
(37.811275, -122.260508)"
THEFT/LARCENY	11/30/2018 08:30:00 PM	18-917424	BURGLARY-AUTO	08X	2300 BROADWAY	Oakland	CA	"2300 BROADWAY
Oakland, CA
(37.812399, -122.266077)"
DUI	12/03/2018 11:58:00 PM	18-061049	DUI ALCOHOL/DRUGS	13Z	5900 CHELTON DR	Oakland	CA	"5900 CHELTON DR
Oakland, CA
(37.823571, -122.198095)"
THEFT/LARCENY	12/01/2018 03:00:00 AM	18-917337	GRAND THEFT	29X	3900 EDGEMOOR PL	Oakland	CA	"3900 EDGEMOOR PL
Oakland, CA
(37.775712, -122.170276)"
THEFT/LARCENY	12/02/2018 04:00:00 AM	18-917445	BURGLARY-AUTO	31Y	8400 EDES AV	Oakland	CA	"8400 EDES AV
Oakland, CA
(37.741742, -122.195475)"
MOTOR VEHICLE THEFT	12/15/2018 11:00:00 AM	18-062153	VEHICLE THEFT - AUTO	31X	9900 ST ELMO ST	Oakland	CA	"9900 ST ELMO ST
Oakland, CA
(37.731917, -122.184923)"
MOTOR VEHICLE THEFT	12/22/2018 01:00:00 AM	18-064320	VEHICLE THEFT - AUTO	31Z	10600 ACALANES DR	Oakland	CA	"10600 ACALANES DR
Oakland, CA
(37.732056, -122.177582)"
ASSAULT	12/15/2018 01:05:00 AM	18-063119	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	10Y	600 42ND ST	Oakland	CA	"600 42ND ST
Oakland, CA
(37.83133, -122.266981)"
THEFT/LARCENY	12/27/2018 07:34:00 PM	18-065190	THEFT	11X	700 60TH ST	Oakland	CA	"700 60TH ST
Oakland, CA
(37.845474, -122.26834)"
MOTOR VEHICLE THEFT	12/23/2018 10:00:00 AM	18-065007	VEHICLE THEFT - AUTO	08X	2900 TELEGRAPH AV	Oakland	CA	"2900 TELEGRAPH AV
Oakland, CA
(37.818278, -122.267371)"
ASSAULT	12/13/2018 01:50:00 PM	18-062848	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	23X	3500 E 16TH ST	Oakland	CA	"3500 E 16TH ST
Oakland, CA
(37.778148, -122.220961)"
VANDALISM	12/02/2018 08:00:00 AM	18-060787	VANDALISM	33X	8900 A ST	Oakland	CA	"8900 A ST
Oakland, CA
(37.749667, -122.176846)"
THEFT/LARCENY	12/15/2018 07:00:00 PM	18-063233	BURGLARY-AUTO	01X	400 WASHINGTON ST	Oakland	CA	"400 WASHINGTON ST
Oakland, CA
(37.797916, -122.276715)"
ASSAULT	12/27/2018 09:00:00 AM	18-065134	BATTERY:SPOUSE/EX SPOUSE/DATE/ETC	30X	1700 81ST AV	Oakland	CA	"1700 81ST AV
Oakland, CA
(37.758291, -122.17611)"
ASSAULT	12/12/2018 07:04:00 AM	18-062580	BATTERY:SPOUSE/ETC	10Y	4100 WEST ST	Oakland	CA	"4100 WEST ST
Oakland, CA
(37.830992, -122.270803)"
ASSAULT	12/27/2018 07:31:00 AM	18-065073	MISD-INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT/DATNG RELATNSHP	21Y	2500 FRUITVALE AV	Oakland	CA	"2500 FRUITVALE AV
Oakland, CA
(37.787781, -122.221146)"
THEFT/LARCENY	11/30/2018 12:00:00 PM	18-061780	THEFT	03Y	400 7TH ST	Oakland	CA	"400 7TH ST
Oakland, CA
(37.799026, -122.272977)"
THEFT/LARCENY	12/04/2018 06:25:00 PM	18-917627	BURGLARY-AUTO	14X	500 GRAND AV	Oakland	CA	"500 GRAND AV
Oakland, CA
(37.808596, -122.251324)"
BURGLARY	12/27/2018 01:36:00 AM	18-065052	BURGLARY-FORCIBLE ENTRY	27Y	5800 INTERNATIONAL BLVD	Oakland	CA	"5800 INTERNATIONAL BLVD
Oakland, CA
(37.76543, -122.200198)"
THEFT/LARCENY	12/03/2018 06:30:00 AM	18-917449	BURGLARY-AUTO	04X	1900 BROADWAY	Oakland	CA	"1900 BROADWAY
Oakland, CA
(37.808414, -122.26861)"
THEFT/LARCENY	12/01/2018 01:20:00 PM	18-917437	THEFT	09X	5100 BROADWAY	Oakland	CA	"5100 BROADWAY
Oakland, CA
(37.835394, -122.251678)"
MOTOR VEHICLE THEFT	12/13/2018 03:24:00 AM	18-062771	VEHICLE THEFT - AUTO	32X	9800 C ST	Oakland	CA	"9800 C ST
Oakland, CA
(37.742298, -122.174746)"
